manufacture,name,skin_type,gender,price,size,case,ingredient,effect,rating
BEAUTIQLO,노니 퍼펙트 모이스처라이저 크림,A,U,25000,80,튜브,노니열매,"피부진정,미백,주름개선,약산성 PH,수분감",5
innisfree,제주한란 인리치드 크림,B,U,25000,50,플라스틱,히알루론산/펩타이드,"탄력 있는 피부,영양,주름개선,모공케어,안티에이징",5
AVEDA,보테니컬 키네틱스 인텐스,C,U,48000,50,플라스틱,야자오일/클로렐라/함초/쿠푸아수 버터,"부드러운 발림,풍부한 영양,빠른 흡수,저자극성,보습",5
Avene,트릭세라 셀렉티오즈 크렘 에몰리앙뜨,D,U,33000,200,튜브,세라마이드/필수지방산/피토스테롤,"빠른 흡수,전신 사용 가능,피부 진정,가려움 완화,72시간 보습",5
belif,더 트루 모이스처라이징,E,U,40000,50,밤,컴프리 리프 허브,"유수분 밸런스,피부 손상 개선,자극 최소화,26시간 보습",5
Dr.G,레드 블레미쉬 클리어 수딩 크림,B,U,36000,70,유리용기,C13-16이소파라핀,"빠른 흡수,끈적임 없음,수분감 부족",5
마녀공장,온천수 미네랄 크림,B,U,18000,50,플라스틱,판테놀/히알루론산,"피부 진정,피부결 정리",4
구달,맑은 어성초 진정 수분 크림,B,U,22000,50,튜브,C13-16아이소파라핀/C12-14아이소파라핀,"가벼움,빠른 흡수,피부 진정",4
토니모리,프롬 강화 맑은 약쑥 두 겹 진정 크림,D,U,54000,64,플라스틱,쑥캘러스추출물/불가리스쑥오일,"피부장벽 강화,피부 진정",3
제로이드,인텐시브 크림,C,U,30000,80,튜브,세라마이드/판테놀,"피부장벽,피부 진정",5
제로이드,핌프로브 모이스처라이저,B,U,30000,100,튜브,미리스토일/필미토일오소스테아리마이드/세라마이드,"가벼운 수분감",5
제로이드,수딩 크림,D,U,30000,80,튜브,미리스토일/필미토일오소스테아리마이드/세라마이드,"가벼운 수분감",5
리얼베리어,익스트림 크림,C,U,38000,50,유리용기,판테놀/카프릴릭/카프릭트리글리세라이드,"높은 기체투과성,피부장벽",4
리얼베리어,인텐스 모이스처 크림,D,U,32000,50,유리용기,판테놀/카프릴릭/카프릭트리글리세라이드,"높은 기체투과성,피부장벽",4
라운드랩,1025 독도 크림,C,U,32000,80,유리용기,세라마이드/히아루론산/알란토인/시어버터,"유분,피부장벽,피부 진정",4
이니스프리,더마포뮬러 그린티 프로바이오틱스 크림,C,U,25000,50,플라스틱,발표/세라마이드/스쿠알란/부틸렌클라이콜다이카프릴레이트/디아카프레이트,"수분감,수분지속력,유분감,느린흡수,피부장벽",4
